Year,Month,Value
2002,6,-5.00E-02
2002,7,8.80E-01
2002,8,6.40E-01
2002,9,7.70E-01
2002,10,-6.50E-01
2002,11,1.54E+00
2002,12,1.59E+00
2003,1,1.29E+00
2003,2,7.30E-01
2003,3,-7.00E-02
2003,4,1.40E-01
2003,5,-2.20E+00
2003,6,-6.00E-01
2003,7,1.23E+00
2003,8,-2.80E-01
2003,9,7.60E-01
2003,10,9.70E-01
2003,11,-1.72E+00
2003,12,8.60E-01
2004,1,4.10E-01
2004,2,1.06E+00
2004,3,3.00E-01
2004,4,5.10E-01
2004,5,-1.76E+00
2004,6,-3.70E-01
2004,7,9.00E-02
2004,8,1.55E+00
2004,9,-8.00E-02
2004,10,-1.39E+00
2004,11,3.10E-01
2004,12,2.60E-01
2005,1,2.00E-02
2005,2,1.40E-01
2005,3,8.80E-01
2005,4,1.28E+00
2005,5,1.74E+00
2005,6,2.90E-01
2005,7,4.30E-01
2005,8,7.20E-01
2005,9,1.63E+00
2005,10,9.00E-01
2005,11,-7.60E-01
2005,12,1.38E+00
2006,1,4.34E-01
2006,2,-1.12E-01
2006,3,-2.74E-01
2006,4,4.46E-01
2006,5,-1.27E+00
2006,6,-1.06E+00
2006,7,1.83E+00
2006,8,-1.41E+00
2006,9,4.24E-01
2006,10,-8.38E-01
2006,11,-1.39E+00
2006,12,1.86E+00
2007,1,7.17E-01
2007,2,-8.74E-02
2007,3,1.81E-01
2007,4,1.25E+00
2007,5,-5.71E-02
2007,6,-3.79E-01
2007,7,2.21E+00
2007,8,1.98E+00
2007,9,1.88E+00
2007,10,5.50E-01
2007,11,6.93E-01
2007,12,1.40E-01
2008,1,-3.18E-01
2008,2,5.01E-01
2008,3,-3.22E-01
2008,4,-9.71E-01
2008,5,1.33E+00
2008,6,-1.75E+00
2008,7,-9.88E-02
2008,8,9.21E-01
2008,9,1.12E+00
2008,10,8.56E-01
2008,11,1.11E+00
2008,12,-1.41E+00
2009,1,6.06E-01
2009,2,-9.48E-01
2009,3,-1.02E+00
2009,4,2.11E-01
2009,5,-5.81E-01
2009,6,3.51E-01
2009,7,1.22E+00
2009,8,6.50E-01
2009,9,1.29E+00
2009,10,4.31E-01
2009,11,2.06E-01
2009,12,3.39E-01
2010,1,1.25E+00
2010,2,5.79E-01
2010,3,2.02E+00
2010,4,1.54E+00
2010,5,-9.32E-01
2010,6,-2.04E-01
2010,7,1.40E+00
2010,8,1.10E+00
2010,9,1.34E+00
2010,10,1.80E+00
2010,11,-8.45E-01
2010,12,-1.78E+00
2011,1,1.29E+00
2011,2,-1.58E+00
2011,3,6.89E-01
2011,4,-1.59E+00
2011,5,1.90E-01
2011,6,2.24E-01
2011,7,-3.55E-01
2011,8,1.42E+00
2011,9,-4.20E-01
2011,10,6.27E-01
2011,11,-7.89E-01
2011,12,3.63E-01
2012,1,6.04E-01
2012,2,7.50E-01
2012,3,1.08E-01
2012,4,1.54E-01
2012,5,-4.23E-01
2012,6,-5.01E-01
2012,7,-1.62E-01
2012,8,-1.71E-01
2012,9,-4.22E-01
2012,10,-1.18E+00
2012,11,-1.10E+00
2012,12,-1.01E+00
2013,1,5.46E-01
2013,2,4.48E-01
2013,3,3.80E-02
2013,4,-1.56E+00
2013,5,-3.64E-01
2013,6,-4.35E-01
2013,7,-3.07E-01
2013,8,-2.93E-02
2013,9,5.45E-01
2013,10,-3.41E-01
2013,11,-1.18E+00
2013,12,-8.58E-01
2014,1,9.68E-01
2014,2,-9.51E-01
2014,3,-2.08E-01
2014,4,2.47E-01
2014,5,-7.63E-01
2014,6,-1.46E+00
2014,7,9.87E-01
2014,8,1.37E+00
2014,9,9.89E-01
2014,10,8.87E-01
2014,11,6.78E-01
2014,12,6.69E-01
2015,1,6.12E-01
2015,2,5.90E-01
2015,3,-2.30E-01
2015,4,-1.50E-01
2015,5,-1.58E-01
2015,6,-1.73E-01
2015,7,7.61E-01
2015,8,7.89E-02
2015,9,-9.18E-01
2015,10,1.78E+00
2015,11,-1.93E-01
2015,12,7.77E-01
2016,1,2.02E+00
2016,2,1.48E+00
2016,3,7.28E-01
2016,4,8.66E-01
2016,5,-1.06E+00
2016,6,-7.01E-01
2016,7,1.02E+00
2016,8,-8.76E-01
2016,9,1.82E-01
2016,10,1.24E+00
2016,11,1.52E+00
2016,12,-3.53E-01
2017,1,2.80E-01
2017,2,1.85E-01
2017,3,2.68E-01
2017,4,3.97E-01
2017,5,-3.11E-01
2017,6,1.01E+00
2017,7,1.86E+00
2017,8,2.32E-01
2017,9,-3.31E-01
2017,10,-3.98E-01
2017,11,-2.06E+00
2017,12,8.88E-01
2018,1,3.99E-01
2018,2,-1.03E+00
2018,3,-8.86E-01
2018,4,-9.09E-01
2018,5,-1.34E+00
2018,6,5.12E-01
2018,7,-3.67E-01
2018,8,1.27E+00
2018,9,1.44E+00
2018,10,2.10E-01
2018,11,2.42E-01
2018,12,8.60E-01
2019,1,8.34E-01
2019,2,-1.08E+00
2019,3,2.50E-01
2019,4,-6.12E-01
2019,5,-2.91E-01
2019,6,1.21E-01
2019,7,1.11E+00
2019,8,1.18E+00
2019,9,2.00E+00
2019,10,-1.02E+00
2019,11,-5.65E-02
2019,12,1.81E-01
2020,1,-2.37E-01
2020,2,1.72E-01
2020,3,-2.17E+00
2020,4,-1.18E+00
2020,5,2.11E-01
2020,6,7.04E-01
2020,7,1.73E+00
2020,8,1.82E+00
2020,9,7.54E-01
2020,10,-1.13E+00
2020,11,2.35E-01
2020,12,1.58E+00
2021,1,1.86E-01
2021,2,-3.07E-01
2021,3,-9.69E-01
2021,4,-1.05E+00
2021,5,-1.35E+00
2021,6,6.66E-01
2021,7,5.62E-01
2021,8,9.55E-01
2021,9,4.43E-01
2021,10,1.13E+00
2021,11,7.22E-01
2021,12,-2.56E+00
2022,1,1.01E+00
2022,2,6.58E-01
