Index_number,Object_ID,area,convex_area,eccentricity,mean_intensity,max_intensity,intensity_variance,major_axis_length,minor_axis_length,solidity,convection_area,intense_area,Label,Area_stan,convex_area_stan,eccentricity_stan,mean_intensity_stan,max_intensity_stan,intensity_variance_stan,major_axis_length_stan,minor_axis_length_stan,solidity_stan,convection_area_stan,intense_area_stan,Major_Minor_Ratio
27,mrms20200603r257,140,175,0.86683868,35.73571429,61.5,139.2230102,20.15139515,10.04725813,0.8,140,51,Isolated Cell,-0.390175981,-0.381454241,0.320059654,0.813520341,1.350552556,2.492207138,-0.693541544,-0.64480044,0.85036361,-0.390175747,-0.484682922,2.005661135
28,mrms20200603r273,104,127,0.567868249,30.74519231,51.5,73.97113073,13.44026808,11.06294625,0.818897638,104,18,Isolated Cell,-0.395087854,-0.385060112,-1.888052344,-1.00970764,-1.103241072,-0.330014488,-0.773836969,-0.620079404,1.013922981,-0.395087618,-0.520274601,1.214890479
30,mrms20200603r309,3281,5585,0.901426241,35.33861628,66,115.3705569,116.2740733,50.33884977,0.587466428,3281,1048,Cluster of Cells,0.038384922,0.024957466,0.575513706,0.668445295,2.454759688,1.460560081,0.456520315,0.335864643,-0.989118004,0.038385005,0.590617212,2.309827774
31,mrms20200603r318,4331,8290,0.771319226,32.4731009,61.5,89.92429376,112.4232643,71.55161424,0.522436671,4331,1100,Cluster of Cells,0.181647879,0.228163319,-0.38542032,-0.378436741,1.350552556,0.359978843,0.410447228,0.852166347,-1.551951639,0.181647911,0.64670107,1.57121912
32,mrms20200603r328,1159,1672,0.712015544,32.73986195,59,88.48992095,52.82136309,37.08924389,0.693181818,1159,263,Supercell,-0.251142693,-0.26899614,-0.823420736,-0.280978757,0.737104149,0.297940508,-0.302661007,0.013379844,-0.074149537,-0.251142507,-0.256033345,1.424169316
33,mrms20200603r335,1683,3089,0.902547675,33.66013072,67.5,123.1111674,93.03190797,40.05860352,0.544836517,1683,454,Cluster of Cells,-0.179647655,-0.162547824,0.583796302,0.055230516,2.822828732,1.795350718,0.178438926,0.08565168,-1.358080598,-0.179647495,-0.050033018,2.322395186
34,mrms20200603r373,2200,2911,0.825099438,32.57590909,54.5,68.3476469,74.62602236,42.16277262,0.755754036,2200,447,Cluster of Cells,-0.109107704,-0.175919596,0.011785283,-0.340876989,-0.367102984,-0.573236872,-0.04177869,0.136865471,0.467414057,-0.109107569,-0.057582768,1.769950545
35,mrms20200603r375,17312,39815,0.909665054,31.48734982,64,86.37579307,336.0659857,139.5825257,0.434811001,17312,3649,Cluster of Cells,1.952787351,2.596394196,0.636363278,-0.738569202,1.964000962,0.206501955,3.086225398,2.507984268,-2.310353274,1.952786759,3.395888674,2.407650842
36,mrms20200603r376,1347,1931,0.895491519,27.57386785,50.5,24.68032676,70.15480814,31.22440221,0.697566028,1347,34,Cluster of Cells,-0.225491801,-0.249539461,0.531681507,-2.168313394,-1.348620435,-2.461900559,-0.095274629,-0.129365707,-0.036204128,-0.225491625,-0.503018029,2.246794275
37,mrms20200603r380,31314,58213,0.319973635,29.98077537,60,68.13017905,257.8312652,244.2761595,0.537921083,31314,5140,Linear,3.863232995,3.978494487,-3.718932639,-1.288978296,0.982483511,-0.582642616,2.150184395,5.056143495,-1.417933793,3.863231727,5.003985464,1.055490907
46,mrms20200604r704,1362,2244,0.882776037,30.90198238,53.5,53.73653792,75.75276973,35.58820209,0.606951872,1362,201,Cluster of Cells,-0.223445188,-0.226026178,0.437768512,-0.952426248,-0.612482346,-1.205184765,-0.028297697,-0.023154312,-0.820471164,-0.223445012,-0.322902561,2.12859221
48,mrms20200604r708,7480,13991,0.926883905,30.20795455,56.5,61.54522416,219.1591815,82.26099112,0.534629405,7480,1103,Cluster of Cells,0.611300309,0.656435618,0.763536896,-1.205981081,0.123655742,-0.86744977,1.687491414,1.112824007,-1.446423323,0.61130019,0.649936678,2.664193301
49,mrms20200604r712,243,326,0.754283101,32.61316872,55,83.59315992,23.95151276,15.72534931,0.745398773,243,63,Cluster of Cells,-0.376122568,-0.370110772,-0.511244378,-0.327264624,-0.244413302,0.086149752,-0.648074955,-0.506600247,0.377789079,-0.376122338,-0.471740493,1.523114832
58,mrms20200604r756,154,184,0.838485101,33.84415584,54.5,84.78415416,19.64716282,10.70622082,0.836956522,154,45,Isolated Cell,-0.388265809,-0.38077814,0.110648049,0.122461912,-0.367102984,0.137661674,-0.699574443,-0.628761816,1.170222923,-0.388265575,-0.491154136,1.835116533
59,mrms20200604r766,312,407,0.928372717,36.04807692,55.5,91.05377835,34.82139423,12.94138879,0.766584767,312,108,Supercell,-0.366708145,-0.364025864,0.774532842,0.927638323,-0.121723621,0.408830399,-0.518022023,-0.574359617,0.561154207,-0.366707919,-0.423206385,2.690699955
60,mrms20200604r767,1533,2567,0.868531805,35.4334638,55,93.53536419,79.20504159,39.25666694,0.597195169,1533,563,Cluster of Cells,-0.200113792,-0.201761671,0.332564603,0.703096711,-0.244413302,0.516161947,0.013007084,0.066133185,-0.904915584,-0.200113624,0.067527378,2.017620133
